link,time,,
https://www.nytimes.com/2018/09/30/smarter-living/5-cheap-ish-things-to-help-you-start-packing-your-lunch.html,2018-10-01T00:44:58Z,,
https://www.nytimes.com/2018/09/07/briefing/genoa-morocco-apple.html,2018-09-07T04:23:58Z,,
https://www.cnn.com/2018/09/13/opinions/apple-watch-medical-analysis-vox/index.html,2018-09-13T22:03:57Z,,
https://www.nytimes.com/2018/09/12/briefing/wednesday-news-briefing.html,2018-09-12T10:04:53Z,,
https://www.nytimes.com/2018/09/13/us/california-today-apple-iphone-watch.html,2018-09-13T12:54:36Z,,
https://www.nytimes.com/2018/09/18/briefing/your-tuesday-evening-news-briefing-brett-kavanaugh-apple-trump.html,2018-09-18T22:13:59Z,,
https://www.nytimes.com/2018/09/12/briefing/apple-hurricane-florence-cbs.html,2018-09-12T22:15:34Z,,
https://www.cnn.com/videos/cnnmoney/2018/09/12/new-iphone-xr-unveiled.cnnmoney,2018-09-12T21:12:30Z,,
https://www.businessinsider.com/apple-watch-series-4-vs-apple-watch-series-3-specs-price-size-comparison-2018-9,2018-09-13T15:18:07Z,,
https://www.nytimes.com/2018/09/12/briefing/your-thursday-news-briefing.html,2018-09-12T20:42:30Z,,
https://www.nytimes.com/2018/09/12/briefing/europe-thursday-news-briefing.html,2018-09-13T04:01:47Z,,
https://www.businessinsider.com/cheap-stylish-apple-watch-bands-2018-9,2018-09-12T20:15:00Z,,
https://www.nytimes.com/2018/09/19/technology/personaltech/apple-watch-series-4-review-health.html,2018-09-19T10:00:04Z,,
https://www.businessinsider.com/apple-iphone-xs-max-xr-name-rumors-2018-9,2018-09-10T16:59:56Z,,
https://www.businessinsider.com/apples-new-low-price-laptop-likely-wont-have-a-touch-bar-2018-9,2018-09-11T00:16:17Z,,
https://www.nytimes.com/2018/09/07/briefing/brett-kavanaugh-george-papadopoulos-elon-musk.html,2018-09-07T22:08:08Z,,
https://www.wsj.com/articles/apple-introduces-watch-with-larger-screen-1536772874,2018-09-12T19:32:00Z,,
https://www.nytimes.com/2018/09/10/briefing/europe-monday-news-briefing.html,2018-09-10T04:09:48Z,,
https://www.businessinsider.com/apple-watch-series-4-thinner-ecg-2018-9,2018-09-12T18:01:43Z,,
https://www.businessinsider.com/aapl-share-price-google-pays-apple-9-billion-annually-tac-goldman-2018-9,2018-09-28T15:46:00Z,,
https://www.businessinsider.com/mcdonalds-new-apple-pie-recipe-sparks-backlash-2018-9,2018-09-18T01:25:39Z,,
https://www.businessinsider.com/apple-to-calculate-trust-scores-to-combat-fraud-2018-9,2018-09-19T11:03:13Z,,
https://www.businessinsider.com/tim-cook-dm-fail-apple-ceo-tweets-something-missing-minutes-before-iphone-event-2018-9,2018-09-12T17:00:04Z,,
https://www.wsj.com/articles/apples-2018-iphone-event-what-you-need-to-know-1536744602,2018-09-12T09:33:28Z,,
https://www.businessinsider.com/tim-cook-spiked-apple-dr-dre-drama-2018-9,2018-09-24T09:19:51Z,,
https://www.nytimes.com/2018/09/10/briefing/europe-tuesday-news-briefing.html,2018-09-11T03:34:32Z,,
https://www.nytimes.com/2018/09/10/briefing/monday-news-briefing.html,2018-09-10T09:47:04Z,,
https://www.nytimes.com/2018/09/10/briefing/your-tuesday-news-briefing.html,2018-09-10T20:26:15Z,,
https://www.nytimes.com/2018/09/11/briefing/tuesday-news-briefing.html,2018-09-11T09:36:16Z,,
https://www.theguardian.com/technology/live/2018/sep/12/iphone-launch-2018-new-xs-phones-apple-watch-announced-live,2018-09-12T16:33:07Z,,
https://www.businessinsider.com/trump-trade-tariffs-apple-products-cloud-industry-2018-9,2018-09-18T01:55:37Z,,
https://www.wsj.com/livecoverage/apple-iphone-event-september-2018,2018-09-12T15:18:57Z,,
https://www.businessinsider.com/apple-iphone-xr-colourful-fun-5c-2018-9,2018-09-12T21:13:48Z,,
https://www.businessinsider.com/apple-iphone-xs-iphone-xs-max-iphone-xr-camera-improvements-upgrades-2018-9,2018-09-13T19:59:47Z,,
https://www.businessinsider.com/new-iphone-xr-name-theory-why-nobody-knows-what-the-r-stands-for-2018-9,2018-09-17T16:43:27Z,,
https://www.businessinsider.com/apple-mentions-taiwan-hong-kong-angers-china-doubts-sales-2018-9,2018-09-14T13:58:32Z,,
https://www.nytimes.com/2018/09/20/briefing/your-thursday-news-briefing.html,2018-09-20T04:15:46Z,,
https://www.businessinsider.com/apple-accidentally-leaks-new-iphone-xs-max-iphone-xr-names-2018-9,2018-09-12T12:44:52Z,,
https://www.businessinsider.com/apple-iphone-xs-max-name-2018-9,2018-09-17T16:40:16Z,,
https://www.businessinsider.com/apple-stock-price-has-ample-dry-powder-with-iphone-launches-2018-9,2018-09-11T16:54:32Z,,
https://www.businessinsider.com/ios-12-camera-photo-updates-iphone-ipad-2018-9,2018-09-18T12:15:00Z,,
