link,time
https://www.androidcentral.com/heres-how-fix-glide-typing-gboard-when-it-acts,2018-09-15T17:10:01Z
https://www.androidcentral.com/amazfit-verge-new-smartwatch-xiaomi-costs-just-115,2018-09-17T17:39:19Z
https://www.androidcentral.com/pandora-being-purchased-siriusxm-35-billion,2018-09-24T13:10:23Z
https://appleinsider.com/articles/18/09/01/app-roundup-google-duo-office-365-reeder-3-viber-more,2018-09-01T12:46:46Z
https://www.androidcentral.com/samsung-internet-90-update-brings-lots-visual-changes,2018-09-20T15:14:06Z
https://www.androidcentral.com/skagen-falster-2-smartwatch-now-available-275-and,2018-09-14T16:58:00Z
https://www.androidcentral.com/mrmobile-samsung-galaxy-watch-buy-it-do-it-soon,2018-09-21T16:09:59Z
https://www.androidcentral.com/rcs-features-will-work-between-android-messags-and-samsung-messages-users,2018-09-12T13:14:58Z
https://www.androidcentral.com/travis-touch-android-powered-universal-translator-it-too-late,2018-09-14T20:47:33Z
https://searchengineland.com/google-admits-its-using-very-limited-personalization-in-search-results-305469,2018-09-17T13:01:25Z
https://blog.hubspot.com/marketing/top-search-engines,2018-09-25T11:00:00Z
https://www.androidpolice.com/2018/09/06/google-experimenting-new-podcast-app-called-shortwave/,2018-09-07T05:36:23Z
https://www.searchenginejournal.com/complete-guide-google-analytics/263087/,2018-09-19T13:45:28Z
https://www.npr.org/2018/09/10/646267932/manslaughter-charge-for-dallas-police-officer-who-killed-a-man-in-his-own-apartm,2018-09-10T15:36:04Z
https://www.fastcompany.com/90241616/see-mailchimps-weird-new-branding?partner=feedburner&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+fastcodesign%2Ffeed+%28Co.Design%29,2018-09-26T15:00:35Z
https://www.theregister.co.uk/2018/09/10/boffins_bash_google_translate_for_sexist_language/,2018-09-10T23:49:50Z
https://www.androidauthority.com/google-birthday-907782/,2018-09-27T14:23:15Z
https://searchengineland.com/eu-approves-controversial-copyright-directive-aimed-at-google-facebook-twitter-305260,2018-09-12T09:53:05Z
https://searchengineland.com/google-amp-to-use-consensus-seeking-governance-model-305614,2018-09-18T16:50:38Z
https://www.cnet.com/news/movies-and-shows-netflix-october-2018/,2018-09-24T18:12:16Z
https://www.cnet.com/news/9-great-reads-from-cnet-this-week-092218/,2018-09-22T12:00:07Z
https://tech.slashdot.org/story/18/09/06/205221/ive-seen-the-future-of-consumer-ai-and-it-doesnt-have-one,2018-09-06T20:40:00Z
https://arstechnica.com/gadgets/2018/09/native-support-for-windows-file-sharing-coming-to-chrome-os/,2018-09-11T17:30:50Z
https://arstechnica.com/gadgets/2018/09/the-oneplus-6-gets-its-official-android-9-pie-update/,2018-09-23T15:30:30Z
https://www.searchenginejournal.com/google-introduces-new-search-engine-for-finding-datasets/268337/,2018-09-05T21:17:30Z
https://news.slashdot.org/story/18/09/05/128209/amazon-accelerating-effort-to-bring-cs-to-more-than-133000-us-schools,2018-09-05T16:00:00Z
https://searchengineland.com/european-publishers-accuse-google-and-facebook-of-plundering-their-content-304902,2018-09-04T13:36:41Z
https://www.windowscentral.com/master-microsoft-excel-and-google-sheets-only-19,2018-09-25T15:30:03Z
https://searchengineland.com/smx-advanced-2018-keynote-with-ilya-grigorik-of-google-300706,2018-09-07T14:00:00Z
https://www.xda-developers.com/google-calculator-material-theme-redesign/,2018-09-18T03:30:57Z
https://www.xda-developers.com/google-maps-group-planning/,2018-09-27T13:00:41Z
https://www.macworld.com/article/3307176/iphone-ipad/google-maps-is-finally-compatible-with-apple-carplay.html,2018-09-18T19:18:00Z
https://www.xda-developers.com/google-chrome-doesnt-auto-sync-data/,2018-09-24T15:44:43Z
